Configuration,Color_Metallic,Color_White,Color_Gray,Wheels_Factory2,Wheels_Factory3,FrontBumper_Factory2,FrontBumper_Factory3,RearBumper_Custom,Headlights_Factory2,Taillights_Factory2,SideMirrors_Custom
Configuration_1,0,0,0,0,0,0,0,0,0,0,0
Configuration_2,0,0,1,0,0,0,0,0,0,0,0
Configuration_3,0,1,0,0,0,0,0,0,0,0,0
Configuration_4,1,0,0,0,0,0,0,0,0,0,0
Configuration_5,0,0,0,0,0,0,0,0,0,0,1
Configuration_6,0,0,1,0,0,0,0,0,0,0,1
Configuration_7,0,1,0,0,0,0,0,0,0,0,1
Configuration_8,1,0,0,0,0,0,0,0,0,0,1
Configuration_9,0,0,0,0,0,0,0,0,0,1,0
Configuration_10,0,0,1,0,0,0,0,0,0,1,0
Configuration_11,0,1,0,0,0,0,0,0,0,1,0
Configuration_12,1,0,0,0,0,0,0,0,0,1,0
Configuration_13,0,0,0,0,0,0,0,0,0,1,1
Configuration_14,0,0,1,0,0,0,0,0,0,1,1
Configuration_15,0,1,0,0,0,0,0,0,0,1,1
Configuration_16,1,0,0,0,0,0,0,0,0,1,1
Configuration_17,0,0,0,0,0,0,0,0,1,0,0
Configuration_18,0,0,1,0,0,0,0,0,1,0,0
Configuration_19,0,1,0,0,0,0,0,0,1,0,0
Configuration_20,1,0,0,0,0,0,0,0,1,0,0
Configuration_21,0,0,0,0,0,0,0,0,1,0,1
Configuration_22,0,0,1,0,0,0,0,0,1,0,1
Configuration_23,0,1,0,0,0,0,0,0,1,0,1
Configuration_24,1,0,0,0,0,0,0,0,1,0,1
Configuration_25,0,0,0,0,0,0,0,0,1,1,0
Configuration_26,0,0,1,0,0,0,0,0,1,1,0
Configuration_27,0,1,0,0,0,0,0,0,1,1,0
Configuration_28,1,0,0,0,0,0,0,0,1,1,0
Configuration_29,0,0,0,0,0,0,0,0,1,1,1
Configuration_30,0,0,1,0,0,0,0,0,1,1,1
Configuration_31,0,1,0,0,0,0,0,0,1,1,1
Configuration_32,1,0,0,0,0,0,0,0,1,1,1
Configuration_33,0,0,0,0,0,0,0,1,0,0,0
Configuration_34,0,0,1,0,0,0,0,1,0,0,0
Configuration_35,0,1,0,0,0,0,0,1,0,0,0
Configuration_36,1,0,0,0,0,0,0,1,0,0,0
Configuration_37,0,0,0,0,0,0,0,1,0,0,1
Configuration_38,0,0,1,0,0,0,0,1,0,0,1
Configuration_39,0,1,0,0,0,0,0,1,0,0,1
Configuration_40,1,0,0,0,0,0,0,1,0,0,1
Configuration_41,0,0,0,0,0,0,0,1,0,1,0
Configuration_42,0,0,1,0,0,0,0,1,0,1,0
