choice_situation,alt_id,choice,id,choice_id,Color_Metallic,Color_White,Color_Gray,Wheels_Factory2,Wheels_Factory3,FB_Factory2,FB_Factory3,RB_Custom,HL_Factory2,TL_Factory2,SM_Custom
1,1,,1,1,0,0,0,1,0,0,1,0,0,0,0
1,2,,1,1,0,0,1,0,0,1,0,1,1,1,1
2,1,,1,2,0,1,0,1,0,0,1,1,0,1,1
2,2,,1,2,1,0,0,0,1,0,0,0,1,0,0
3,1,,1,3,0,0,1,1,0,1,0,0,1,0,1
3,2,,1,3,1,0,0,0,0,0,0,1,0,1,0
4,1,,1,4,1,0,0,0,0,0,1,0,1,0,1
4,2,,1,4,0,0,1,0,1,0,0,1,0,1,0
5,1,,1,5,1,0,0,1,0,1,0,1,0,0,0
5,2,,1,5,0,0,0,0,0,0,0,0,1,1,1
6,1,,1,6,0,0,0,0,0,1,0,1,1,1,0
6,2,,1,6,0,1,0,0,1,0,0,0,0,0,1
7,1,,1,7,0,1,0,1,0,0,0,1,1,0,0
7,2,,1,7,0,0,0,0,1,0,1,0,0,1,1
8,1,,1,8,0,0,1,0,0,1,0,0,0,0,0
8,2,,1,8,1,0,0,0,1,0,1,1,1,1,1
9,1,,1,9,0,0,1,1,0,0,1,0,1,1,0
9,2,,1,9,0,1,0,0,0,1,0,1,0,0,1
10,1,,1,10,1,0,0,1,0,0,0,0,0,1,1
10,2,,1,10,0,1,0,0,1,0,1,1,1,0,0
11,1,,1,11,0,0,1,0,0,0,1,1,0,0,1
11,2,,1,11,0,1,0,1,0,1,0,0,1,1,0
12,1,,1,12,0,1,0,0,0,0,1,0,0,1,0
12,2,,1,12,0,0,0,1,0,0,0,1,1,0,1
